mouseEntryTime,mouseName,mouseRFID,tunnelID,taskType,phaseID,pGo,Stim. freq (Hz),Stim. amp,ITI,start_delay_min,start_delay_max,stimulusType,stimulusSide,stimulusTime,stimDuration(sec),timeout(sec),trialType,responseWindow(sec),mouseResponse,responseTimes,isLickBeforeStimulus,autoReward,punishment,preLicks,rand_delay_after_cue,ITI_blocks,totalLicks,is_water,session_id
2022-11-02 09:45:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0,0
2022-11-02 09:46:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0,0
2022-11-02 09:47:00.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0,0
2022-11-02 09:47:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0,0
2022-11-02 09:48:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0,0
2022-11-02 09:49:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0,0
2022-11-02 09:50:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0,0
2022-11-02 09:51:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0,0
2022-11-02 09:52:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0,0
2022-11-02 09:53:14.958785,R9,,TrainingBox4,Reward,Reward,,,,4.0,2.5,2.5,,,,,,Reward,2,NoLick,[],False,,,[],2.5,15,[],0,0
